# wavelength_um clean_reference_transit_depth
4.1578359604e+00 5.0378232263e-03
4.1675200462e+00 5.0490763970e-03
4.1771788597e+00 5.0777993165e-03
4.1868162155e+00 5.1133786328e-03
4.1964287758e+00 5.1364754327e-03
4.2060179710e+00 5.1535847597e-03
4.2155852318e+00 5.1699811593e-03
4.2251291275e+00 5.1760333590e-03
4.2346510887e+00 5.1782359369e-03
4.2441492081e+00 5.1821367815e-03
4.2536239624e+00 5.1854676567e-03
4.2630791664e+00 5.1810578443e-03
4.2725100517e+00 5.1826327108e-03
4.2819190025e+00 5.1844269037e-03
4.2913069725e+00 5.1849856973e-03
4.3006730080e+00 5.1845591515e-03
4.3100171089e+00 5.1832078025e-03
4.3193402290e+00 5.1762643270e-03
4.3286418915e+00 5.1750615239e-03
4.3379220963e+00 5.1718247123e-03
4.3471808434e+00 5.1609887742e-03
4.3564200401e+00 5.1543209702e-03
4.3656368256e+00 5.1466031000e-03
4.3748331070e+00 5.1408624277e-03
4.3840088844e+00 5.1358882338e-03
4.3931651115e+00 5.1302462816e-03
4.4022998810e+00 5.1170988008e-03
4.4114151001e+00 5.1081259735e-03
4.4205098152e+00 5.1028374583e-03
4.4295849800e+00 5.0982572138e-03
4.4386410713e+00 5.0784447230e-03
4.4476761818e+00 5.0677461550e-03
4.4566922188e+00 5.0618373789e-03
4.4656891823e+00 5.0556906499e-03
4.4746651649e+00 5.0485599786e-03
4.4836230278e+00 5.0400570035e-03
4.4925618172e+00 5.0337882712e-03
4.5014810562e+00 5.0326818600e-03
4.5103821754e+00 5.0426018424e-03
4.5192627907e+00 5.0427117385e-03
4.5281257629e+00 5.0377142616e-03
4.5369710922e+00 5.0391540863e-03
4.5457959175e+00 5.0384444185e-03
4.5546040535e+00 5.0376760773e-03
4.5633931160e+00 5.0375494175e-03
4.5721631050e+00 5.0350739621e-03
4.5809168816e+00 5.0342255272e-03
4.5896511078e+00 5.0340713933e-03
4.5983681679e+00 5.0306282938e-03
4.6070671082e+00 5.0345566124e-03
4.6157479286e+00 5.0396886654e-03
4.6244120598e+00 5.0409412943e-03
4.6330580711e+00 5.0381398760e-03
4.6416869164e+00 5.0382120535e-03
4.6502981186e+00 5.0423783250e-03
4.6588931084e+00 5.0422661006e-03
4.6674690247e+00 5.0435103476e-03
4.6760292053e+00 5.0470274873e-03
4.6845731735e+00 5.0471224822e-03
4.6930990219e+00 5.0543397665e-03
4.7016091347e+00 5.0638779067e-03
4.7101011276e+00 5.0594643690e-03
4.7185778618e+00 5.0588501617e-03
4.7270359993e+00 5.0643244758e-03
4.7354798317e+00 5.0732223317e-03
4.7439060211e+00 5.0732363015e-03
4.7523169518e+00 5.0668679178e-03
4.7607111931e+00 5.0634983927e-03
4.7690892220e+00 5.0692427903e-03
4.7774510384e+00 5.0824489444e-03
4.7857980728e+00 5.0735189579e-03
4.7941279411e+00 5.0690849312e-03
4.8024430275e+00 5.0814468414e-03
4.8107419014e+00 5.0892615691e-03
4.8190259933e+00 5.0908904523e-03
4.8272929192e+00 5.0810086541e-03
4.8355460167e+00 5.0785150379e-03
4.8437829018e+00 5.0800857134e-03
4.8520050049e+00 5.0804740749e-03
4.8602108955e+00 5.0783413462e-03
4.8684029579e+00 5.0736297853e-03
4.8765788078e+00 5.0732083619e-03
4.8847408295e+00 5.0717792474e-03
4.8928871155e+00 5.0658262335e-03
4.9010190964e+00 5.0616078079e-03
4.9091348648e+00 5.0572529435e-03
4.9172382355e+00 5.0511639565e-03
4.9253239632e+00 5.0444705412e-03
4.9333977699e+00 5.0372765400e-03
4.9414558411e+00 5.0302287564e-03
4.9495010376e+00 5.0235399976e-03
4.9575290680e+00 5.0200680271e-03
