# wavelength_um half_bin_width_um noisy_transit_depth sigma_inst
2.0513579845e+00 9.1887218878e-03 4.8107360490e-03 2.9224320315e-05
2.0696830750e+00 9.1369310394e-03 4.8732780851e-03 2.9121230909e-05
2.0879058838e+00 9.0857120231e-03 4.8677618615e-03 2.8724909498e-05
2.1060259342e+00 9.0339742601e-03 4.9159019254e-03 2.8036429285e-05
2.1240420341e+00 8.9822793379e-03 4.9019861035e-03 2.7452699214e-05
2.1419548988e+00 8.9313248172e-03 4.9245432019e-03 2.7204179787e-05
2.1597669125e+00 8.8805994019e-03 4.9298158847e-03 2.7107029382e-05
2.1774780750e+00 8.8296057656e-03 4.9321469851e-03 2.6960300602e-05
2.1950860023e+00 8.7788747624e-03 4.9286847934e-03 2.6908279324e-05
2.2125930786e+00 8.7289325893e-03 4.9689840525e-03 2.6772650017e-05
2.2300009727e+00 8.6792921647e-03 4.9678301439e-03 2.6587960747e-05
2.2473099232e+00 8.6299013346e-03 5.0280122086e-03 2.6543559215e-05
2.2645208836e+00 8.5809743032e-03 4.9636331387e-03 2.6731240723e-05
2.2816340923e+00 8.5322996601e-03 5.0194310024e-03 2.7177700758e-05
2.2986500263e+00 8.4838569164e-03 4.9206241965e-03 2.7657029932e-05
2.3155701160e+00 8.4359673783e-03 4.9186758697e-03 2.8178710636e-05
2.3323938847e+00 8.3886943758e-03 4.9093901180e-03 2.8747070246e-05
2.3491239548e+00 8.3419056609e-03 4.8701320775e-03 2.9760209145e-05
2.3657619953e+00 8.2954633981e-03 4.9291448668e-03 3.1365649193e-05
2.3823060989e+00 8.2494793460e-03 4.8592449166e-03 3.1753381336e-05
2.3987600803e+00 8.2039758563e-03 4.9109510146e-03 3.1609601137e-05
2.4151220322e+00 8.1589799374e-03 4.7743869945e-03 3.2483050745e-05
2.4313950539e+00 8.1144897267e-03 4.7169080935e-03 3.3584721677e-05
2.4475800991e+00 8.0703860149e-03 4.7924779356e-03 3.6039069528e-05
2.4636769295e+00 8.0267041922e-03 4.7269109637e-03 3.9696060412e-05
2.4796869755e+00 7.9834014177e-03 4.7222170979e-03 4.1101888201e-05
2.4956109524e+00 7.9406267032e-03 4.7051631846e-03 4.1444680392e-05
2.5114490986e+00 7.8985486180e-03 4.5274337754e-03 4.1433639126e-05
2.5272049904e+00 7.8570013866e-03 4.5778481290e-03 4.1062510718e-05
2.5428769588e+00 7.8158751130e-03 4.5541562140e-03 4.2173029215e-05
2.5584681034e+00 7.7752009965e-03 4.6748491004e-03 4.2688690883e-05
2.5739779472e+00 7.7347531915e-03 4.6802069992e-03 4.2601248424e-05
2.5894069672e+00 7.6946280897e-03 4.6848221682e-03 4.3351039494e-05
2.6047570705e+00 7.6552461833e-03 4.6492260881e-03 4.2207619117e-05
2.6200280190e+00 7.6165590435e-03 4.7984798439e-03 4.0285100113e-05
2.6352229118e+00 7.5782788917e-03 4.7665331513e-03 3.9721820940e-05
2.6503410339e+00 7.5398851186e-03 4.6696620993e-03 4.0212999011e-05
2.6653831005e+00 7.5020710938e-03 4.8039318062e-03 4.0661489038e-05
