# wavelength_um half_bin_width_um noisy_transit_depth sigma_inst
4.9895057678e+00 3.9828540757e-03 4.7215018421e-03 1.2043720199e-04
4.9974651337e+00 3.9759688079e-03 4.8008128069e-03 1.2223029626e-04
5.0054087639e+00 3.9689340629e-03 4.8128748313e-03 1.2295909983e-04
5.0133399963e+00 3.9620958269e-03 4.7015580349e-03 1.2326439901e-04
5.0212578773e+00 3.9550848305e-03 4.6933749691e-03 1.2370420154e-04
5.0291609764e+00 3.9481851272e-03 4.7409860417e-03 1.2431919458e-04
5.0370512009e+00 3.9414297789e-03 4.7569130547e-03 1.2536659779e-04
5.0449261665e+00 3.9345240220e-03 4.6243001707e-03 1.2592419807e-04
5.0527892113e+00 3.9278632030e-03 4.6620401554e-03 1.2303379481e-04
5.0606379509e+00 3.9210608229e-03 4.7915140167e-03 1.1985120364e-04
5.0684728622e+00 3.9145019837e-03 4.8608737998e-03 1.1677199655e-04
5.0762958527e+00 3.9076912217e-03 4.8601450399e-03 1.1628599896e-04
5.0841040611e+00 3.9009780157e-03 4.9074599519e-03 1.1752559658e-04
5.0918998718e+00 3.8944580592e-03 4.8233182169e-03 1.1757049651e-04
5.0996818542e+00 3.8877360057e-03 4.8203137703e-03 1.1772709695e-04
5.1074509621e+00 3.8813881110e-03 4.9923248589e-03 1.2057690037e-04
5.1152071953e+00 3.8746970240e-03 4.7749681398e-03 1.2448690541e-04
5.1229491234e+00 3.8682990707e-03 4.7790771350e-03 1.2991719996e-04
5.1306800842e+00 3.8618110120e-03 4.8507777974e-03 1.2912969396e-04
5.1383972168e+00 3.8552288897e-03 4.9362871796e-03 1.2194889860e-04
5.1461009979e+00 3.8489541039e-03 4.7498787753e-03 1.2075230188e-04
5.1537928581e+00 3.8424390368e-03 4.9845478497e-03 1.2277410133e-04
5.1614708900e+00 3.8362189662e-03 4.8473379575e-03 1.2865589815e-04
5.1691370010e+00 3.8298850413e-03 4.6486197971e-03 1.3593319454e-04
5.1767902374e+00 3.8234260865e-03 4.6661691740e-03 1.3998920622e-04
5.1844310760e+00 3.8173340727e-03 4.6243900433e-03 1.4182469749e-04
5.1920599937e+00 3.8109358866e-03 5.0975098275e-03 1.3861909974e-04
5.1996750832e+00 3.8046950940e-03 4.7620921396e-03 1.3602050603e-04
5.2072792053e+00 3.7985779345e-03 4.7134100460e-03 1.3474169828e-04
5.2148690224e+00 3.7922600750e-03 4.8790210858e-03 1.3611769828e-04
5.2224478722e+00 3.7864670157e-03 4.8186262138e-03 1.4035520144e-04
5.2300148010e+00 3.7802129518e-03 4.6687698923e-03 1.4299260511e-04
5.2375679016e+00 3.7739889231e-03 4.6158442274e-03 1.4449289301e-04
5.2451109886e+00 3.7681059912e-03 4.8469952308e-03 1.4622180606e-04
5.2526412010e+00 3.7618579809e-03 4.5544398017e-03 1.4790869318e-04
5.2601580620e+00 3.7558719050e-03 4.5994007960e-03 1.4570889471e-04
5.2676639557e+00 3.7499859463e-03 4.6499120072e-03 1.4304059732e-04
5.2751579285e+00 3.7438978907e-03 4.5680901967e-03 1.4350780111e-04
5.2826399803e+00 3.7381350994e-03 4.6197739430e-03 1.4508349705e-04
5.2901110649e+00 3.7322209682e-03 4.8011047766e-03 1.4909540187e-04
5.2975687981e+00 3.7289850879e-03 4.8000318930e-03 1.5392620116e-04
